ticket_id,customer_id,region,channel,category,priority,agent_id,created_date,resolved_date,first_response_time_hours,resolution_time_hours,csat_score,status,sla_breached
TKT000603,CUST_015,East,Email,Account Access,Low,AGENT_11,2026-02-09,,44.9,161.8,3,Closed,Yes
TKT003061,CUST_047,North,Email,Delivery Delay,Low,AGENT_03,2026-06-10,2026-06-12,8.7,64.6,5,Closed,No
TKT003455,CUST_106,East,Email,Account Access,Critical,AGENT_13,2026-01-01,,1.6,7.2,3,Resolved,Yes
TKT004563,CUST_079,West,Phone,Billing,Low,AGENT_10,2026-06-12,2026-06-13,20.0,,5,Resolved,No
TKT003360,CUST_098,North,Phone,Billing,Medium,AGENT_03,2026-04-02,2026-04-03,19.3,,5,Resolved,No
TKT002533,CUST_131,South,Email,Account Access,Critical,AGENT_11,2026-03-30,2026-03-30,1.5,4.6,4,Resolved,Yes
TKT000493,CUST_054,South,Email,Delivery Delay,Medium,AGENT_13,2026-04-30,2026-05-02,22.9,69.2,1,Resolved,Yes
TKT002012,CUST_004,East,Email,Billing,Low,AGENT_05,2026-03-14,2026-03-18,23.5,108.0,3,Closed,Yes
TKT003319,CUST_107,Central,Chat,Other,Medium,AGENT_13,2026-06-16,,14.9,35.8,,Reopened,No
TKT001575,CUST_023,South,Portal,Billing,Medium,AGENT_07,2026-03-23,,3.4,297.0,4,Resolved,Yes
TKT001083,CUST_081,North,Phone,Other,Critical,AGENT_01,2026-02-02,2026-02-02,0.5,-18.2,4,Resolved,Yes
TKT002240,CUST_079,South,Chat,Billing,Medium,AGENT_12,2026-05-18,2026-05-20,3.5,53.4,,Reopened,Yes
TKT001613,CUST_052,North,Chat,Other,Low,AGENT_04,2026-05-01,,21.4,,,Open,No
TKT002867,CUST_010,West,Phone,Delivery Delay,Low,AGENT_01,2026-05-18,2026-05-18,0.5,,5,Resolved,No
TKT002551,CUST_086,West,Chat,Billing,High,AGENT_10,2026-01-08,2026-01-08,6.3,15.0,4,Closed,Yes
TKT000143,CUST_142,West,Chat,Delivery Delay,Low,AGENT_09,2026-05-13,,24.0,133.4,4,Resolved,Yes
TKT003227,CUST_048,Central,Email,Damaged Goods,High,AGENT_12,2026-04-05,2026-04-05,4.4,10.6,5,Closed,No
TKT000720,CUST_088,North,Email,Other,Medium,AGENT_11,2026-03-20,2026-03-22,1.6,48.5,4,Closed,Yes
TKT001759,CUST_033,West,Phone,Other,Medium,AGENT_09,2026-02-06,2026-02-07,18.3,,3,Resolved,No
TKT000881,CUST_026,West,Portal,Delivery Delay,Medium,AGENT_03,2026-04-29,,4.2,41.2,4,Resolved,Yes
TKT000663,CUST_145,Central,Chat,Other,Low,AGENT_03,2026-05-24,2026-05-27,4.4,81.9,2,Resolved,Yes
TKT000880,CUST_048,East,Chat,Other,Low,AGENT_02,2026-03-02,,11.7,,,Open,No
TKT001573,CUST_124,North,Email,Billing,Low,AGENT_05,2026-03-10,2026-03-13,41.3,76.2,5,Resolved,Yes
TKT000801,CUST_117,Central,Email,Delivery Delay,Medium,AGENT_15,2026-03-04,2026-03-07,23.5,72.5,5,Resolved,Yes
TKT000118,CUST_034,East,Email,Account Access,Medium,AGENT_02,2026-03-02,2026-03-03,2.0,35.8,,Reopened,No
TKT002768,CUST_028,North,Portal,Other,Low,AGENT_06,2026-03-01,2026-03-04,22.5,72.6,3,Resolved,Yes
TKT004867,CUST_060,West,Email,Billing,Critical,AGENT_09,2026-05-07,2026-05-07,0.9,4.1,5,Resolved,Yes
TKT001710,CUST_131,North,Chat,Other,Low,AGENT_10,2026-05-26,,13.3,148.6,4,Resolved,Yes
TKT001594,CUST_108,East,Email,Other,Low,AGENT_13,2026-05-24,2026-05-30,18.4,148.3,1,Resolved,Yes
TKT003964,CUST_035,South,Chat,Billing,Critical,AGENT_12,2026-01-28,2026-01-28,1.1,4.0,3,Resolved,No
TKT000566,CUST_146,East,Email,Other,High,AGENT_06,2026-02-15,2026-02-15,7.0,22.6,4,Resolved,Yes
TKT003259,CUST_148,West,Chat,Delivery Delay,High,AGENT_03,,2026-06-21,1.7,24.0,4,Closed,Yes
TKT004453,CUST_135,Central,Phone,Billing,Critical,AGENT_12,2026-03-10,2026-03-10,1.4,,5,Resolved,Yes
TKT003132,CUST_107,West,Portal,Other,High,AGENT_06,,2026-03-16,1.7,9.8,4,Resolved,No
TKT001645,CUST_002,Central,Portal,Delivery Delay,Low,AGENT_03,2026-05-05,,39.1,,,Open,No
TKT003723,CUST_077,West,Chat,Delivery Delay,High,AGENT_13,2026-02-23,,2.8,18.9,5,Resolved,Yes
TKT003402,CUST_059,North,Portal,Delivery Delay,Low,AGENT_12,2026-06-10,,4.2,115.6,3,Closed,Yes
TKT002117,CUST_141,North,Portal,Billing,High,AGENT_13,2026-04-21,2026-04-22,3.2,24.5,,Reopened,Yes
TKT003246,CUST_103,West,Chat,Billing,Medium,AGENT_03,2026-05-10,2026-05-11,8.5,37.6,4,Resolved,Yes
TKT004382,CUST_126,South,Phone,Other,Low,AGENT_03,2026-06-30,,15.4,,2,Resolved,No
TKT003445,CUST_074,East,Chat,Damaged Goods,Low,AGENT_11,2026-02-02,2026-02-06,1.8,100.9,4,Resolved,Yes
TKT000633,CUST_022,North,Portal,Billing,Medium,AGENT_10,2026-03-08,2026-03-09,9.2,38.0,4,Closed,Yes
TKT003783,CUST_019,West,Portal,Damaged Goods,High,AGENT_14,2026-01-15,,5.5,,,Open,No
TKT004472,CUST_031,South,Portal,Other,High,AGENT_13,2026-05-02,2026-05-02,6.4,21.6,3,Resolved,Yes
TKT001905,CUST_035,North,Chat,Billing,Low,AGENT_11,2026-06-21,,43.6,,,Open,No
TKT002356,CUST_084,South,Email,Delivery Delay,High,AGENT_07,2026-06-09,2026-06-19,7.6,250.1,,Reopened,Yes
TKT004658,CUST_020,Central,Chat,Billing,Critical,AGENT_15,2026-03-08,2026-03-08,1.4,5.2,5,Resolved,Yes
TKT001171,CUST_106,East,Email,Billing,High,AGENT_10,2026-05-25,2026-05-25,2.7,20.9,3,Resolved,Yes
TKT004247,CUST_097,South,Phone,Damaged Goods,Low,AGENT_14,2026-01-29,2026-02-02,15.5,,4,Closed,Yes
TKT000319,CUST_037,South,Phone,Billing,Low,AGENT_10,2026-06-13,2026-06-19,19.4,153.0,3,Resolved,Yes
TKT002335,CUST_036,West,Email,Billing,Low,AGENT_01,,,44.7,146.2,5,Closed,Yes
TKT001510,CUST_061,East,Email,Delivery Delay,Medium,AGENT_15,2026-05-07,2026-05-08,16.4,32.2,2,Closed,No
TKT001010,CUST_102,East,Email,Delivery Delay,High,AGENT_05,2026-05-16,2026-05-16,7.2,12.8,5,Resolved,Yes
TKT004676,CUST_105,East,Email,Damaged Goods,Low,AGENT_05,2026-01-19,2026-01-24,29.5,136.5,5,Resolved,Yes
TKT003644,CUST_111,South,Portal,Account Access,Low,AGENT_08,2026-02-15,2026-02-18,40.2,72.3,5,Resolved,Yes
TKT004615,CUST_049,East,Chat,Other,Medium,AGENT_15,2026-02-18,2026-02-20,17.7,64.8,3,Closed,Yes
TKT003915,CUST_093,North,Phone,Damaged Goods,Low,AGENT_15,2026-06-01,2026-06-06,47.4,,5,Resolved,Yes
TKT004787,CUST_032,North,Chat,Account Access,Low,AGENT_02,2026-03-06,2026-03-09,20.9,92.5,,Reopened,Yes
TKT002389,CUST_124,North,Email,Delivery Delay,High,AGENT_11,2026-02-27,2026-02-27,4.8,8.7,,Reopened,No
TKT001574,CUST_089,West,Chat,Billing,Low,AGENT_08,2026-06-08,,9.8,59.7,3,Resolved,No
TKT000632,CUST_050,West,Chat,Delivery Delay,Low,AGENT_13,2026-06-02,2026-06-04,32.2,57.0,,Reopened,No
TKT004763,CUST_031,North,Chat,Damaged Goods,Low,AGENT_09,,,44.2,,,Open,No
TKT004820,CUST_043,North,Chat,Delivery Delay,High,AGENT_01,2026-04-29,2026-04-29,1.4,7.9,1,Resolved,No
TKT001475,CUST_076,South,Phone,Delivery Delay,Low,AGENT_13,2026-03-06,2026-03-10,4.8,,4,Resolved,Yes
TKT000020,CUST_043,Central,Phone,Billing,Low,AGENT_11,2026-06-24,,9.5,23.1,5,Resolved,No
TKT003310,CUST_022,North,Chat,Billing,Low,AGENT_04,2026-01-10,2026-01-12,12.8,69.5,5,Closed,No
TKT004847,CUST_137,North,Chat,Delivery Delay,Medium,AGENT_06,2026-06-18,2026-06-20,11.9,49.9,4,Closed,Yes
TKT001973,CUST_080,North,Chat,Damaged Goods,Medium,AGENT_12,2026-05-22,2026-05-23,13.2,27.6,4,Resolved,No
TKT003665,CUST_097,East,Email,Other,Medium,AGENT_11,2026-01-12,,11.0,30.6,4,Closed,No
TKT000854,CUST_142,West,Chat,Other,Low,AGENT_05,2026-04-27,,31.4,171.3,3,Resolved,Yes
TKT002699,CUST_029,East,Email,Other,Medium,AGENT_13,2026-04-13,,17.3,26.4,5,Resolved,No
TKT001335,CUST_127,North,Portal,Other,Critical,AGENT_13,2026-06-07,2026-06-07,1.7,4.5,5,Resolved,Yes
TKT000534,CUST_096,South,Email,Account Access,Medium,AGENT_10,2026-06-16,2026-06-18,6.1,54.9,5,Resolved,Yes
TKT000425,CUST_043,East,Chat,Account Access,Critical,AGENT_15,2026-01-13,2026-01-13,1.2,3.4,3,Resolved,No
TKT003398,CUST_076,North,Email,Delivery Delay,Medium,AGENT_02,2026-02-20,2026-02-22,1.8,63.4,4,Resolved,Yes
TKT001618,CUST_075,West,Email,Other,Medium,AGENT_06,2026-02-12,2026-02-14,9.3,68.0,2,Resolved,Yes
TKT004124,CUST_004,East,Chat,Delivery Delay,Medium,AGENT_08,2026-02-26,2026-02-27,19.9,43.4,4,Resolved,Yes
TKT001312,CUST_051,North,Chat,Billing,Low,AGENT_15,2026-02-06,2026-02-10,13.5,109.1,3,Resolved,Yes
TKT004221,CUST_023,North,Chat,Delivery Delay,High,AGENT_04,2026-04-21,2026-04-21,0.9,14.7,5,Resolved,Yes
TKT003952,CUST_147,West,Phone,Account Access,Low,AGENT_02,2026-06-24,2026-06-27,31.8,,5,Resolved,Yes
TKT002078,CUST_108,South,Email,Account Access,High,AGENT_03,2026-06-10,2026-06-10,5.1,23.3,4,Resolved,Yes
TKT003676,CUST_096,West,Chat,Account Access,High,AGENT_14,2026-02-08,2026-02-08,3.3,7.4,,Reopened,No
TKT002341,CUST_128,North,Email,Billing,High,AGENT_05,2026-05-25,2026-05-25,3.8,23.6,4,Resolved,Yes
TKT001058,CUST_134,Central,Email,Other,Low,AGENT_04,2026-03-03,2026-03-05,5.5,53.4,4,Resolved,No
TKT003496,CUST_040,West,Chat,Damaged Goods,Medium,AGENT_09,2026-04-15,2026-04-16,9.3,39.5,4,Resolved,Yes
TKT003121,CUST_131,South,Chat,Billing,Low,AGENT_12,2026-04-09,2026-04-12,41.2,83.8,,Reopened,Yes
TKT003883,CUST_043,Central,Phone,Damaged Goods,Critical,AGENT_13,2026-05-09,2026-05-09,1.7,,4,Resolved,Yes
TKT001864,CUST_130,West,Email,Account Access,Low,AGENT_01,2026-04-22,2026-04-24,1.9,66.7,5,Resolved,No
TKT000033,CUST_051,West,Chat,Other,Medium,AGENT_13,2026-06-22,2026-06-23,1.8,29.7,4,Resolved,No
TKT002908,CUST_092,East,Chat,Other,Low,AGENT_01,2026-02-05,2026-02-08,35.1,75.8,2,Closed,Yes
TKT001899,CUST_099,Central,Chat,Damaged Goods,Low,AGENT_05,2026-01-11,2026-01-12,18.5,34.9,4,Resolved,No
TKT000546,CUST_064,South,Phone,Damaged Goods,Low,AGENT_03,2026-04-30,,34.0,,,Open,No
TKT004250,CUST_085,Central,Chat,Billing,High,AGENT_08,2026-02-28,,5.7,,,Open,No
TKT001501,CUST_034,West,Portal,Other,Low,AGENT_04,2026-05-18,2026-05-18,7.8,13.9,,Reopened,No
TKT000753,CUST_083,Central,Portal,Billing,Low,AGENT_14,2026-01-26,,45.8,,,Open,No
TKT004864,CUST_003,North,Email,Other,High,AGENT_05,2026-04-23,,5.4,29.4,5,Resolved,Yes
TKT001849,CUST_036,South,Chat,Billing,Low,AGENT_12,2026-02-27,2026-03-04,28.8,123.2,4,Resolved,Yes
TKT001272,CUST_104,East,Email,Damaged Goods,High,AGENT_14,2026-06-01,2026-06-01,2.4,16.9,4,Resolved,Yes
TKT004800,CUST_084,West,Email,Billing,Medium,AGENT_15,2026-05-29,2026-05-30,2.1,44.0,5,Resolved,Yes
TKT004567,CUST_043,South,Portal,Billing,Low,AGENT_08,2026-06-22,2026-06-25,11.5,91.2,5,Resolved,Yes
TKT004143,CUST_063,Central,Chat,Billing,High,AGENT_02,2026-03-21,2026-03-21,3.6,20.0,5,Resolved,Yes
TKT001127,CUST_079,Central,Phone,Account Access,Low,AGENT_08,2026-04-20,2026-04-23,13.2,,5,Closed,Yes
TKT002517,CUST_135,East,Portal,Account Access,Medium,AGENT_04,2026-03-07,2026-03-09,22.9,71.4,5,Resolved,Yes
TKT002254,CUST_012,West,Portal,Account Access,Medium,AGENT_01,2026-06-22,2026-06-24,11.5,66.9,1,Closed,Yes
TKT001654,CUST_120,South,Chat,Delivery Delay,Critical,AGENT_03,2026-01-12,2026-01-12,1.3,3.8,4,Resolved,No
TKT004103,CUST_143,Central,Phone,Delivery Delay,Critical,AGENT_08,2026-06-14,2026-06-14,0.8,,5,Resolved,Yes
TKT000487,CUST_120,North,Email,Damaged Goods,Low,AGENT_03,2026-05-01,2026-05-07,12.8,145.5,4,Resolved,Yes
TKT000995,CUST_099,North,Chat,Billing,Low,AGENT_11,2026-04-16,2026-04-16,10.0,20.4,,Reopened,No
TKT001697,CUST_101,East,Email,Billing,Low,AGENT_05,2026-05-17,2026-05-18,34.7,46.9,4,Resolved,No
TKT001251,CUST_118,East,Email,Billing,Low,AGENT_01,2026-03-04,,21.8,,,Open,No
TKT001331,CUST_015,West,Email,Other,High,AGENT_11,2026-05-06,2026-05-06,5.9,8.2,4,Resolved,No
TKT002769,CUST_144,Central,Phone,Delivery Delay,High,AGENT_05,2026-06-27,2026-06-28,7.3,,4,Resolved,Yes
TKT004738,CUST_061,South,Chat,Delivery Delay,Low,AGENT_01,2026-04-17,2026-04-22,44.1,143.1,5,Resolved,Yes
TKT003464,CUST_078,Central,Chat,Damaged Goods,Medium,AGENT_05,2026-05-03,2026-05-05,14.8,58.2,2,Closed,Yes
TKT004209,CUST_051,South,Chat,Delivery Delay,Low,AGENT_13,2026-06-14,2026-06-19,8.4,124.8,5,Resolved,Yes
TKT000216,CUST_136,North,Email,Billing,Low,AGENT_13,2026-04-21,2026-04-24,16.8,72.6,4,Resolved,Yes
TKT002593,CUST_060,West,Chat,Damaged Goods,Low,AGENT_01,2026-03-11,,30.1,147.7,5,Resolved,Yes
TKT004126,CUST_044,Central,Email,Billing,Low,AGENT_03,2026-01-06,2026-01-11,15.8,143.3,,Reopened,Yes
TKT001739,CUST_089,Central,Email,Billing,Medium,AGENT_15,2026-01-02,2026-01-02,6.4,16.3,2,Resolved,No
TKT001685,CUST_032,West,Phone,Damaged Goods,Medium,AGENT_05,2026-04-01,2026-04-01,9.4,,3,Resolved,No
TKT004388,CUST_110,West,Portal,Account Access,Low,AGENT_13,2026-03-19,2026-03-24,8.1,124.9,4,Resolved,Yes
TKT001723,CUST_078,Central,Chat,Other,Low,AGENT_04,2026-06-02,,28.2,,,Open,No
TKT004317,CUST_074,West,Phone,Billing,Low,AGENT_08,2026-06-07,2026-06-11,26.0,109.7,4,Resolved,Yes
TKT003018,CUST_114,North,Chat,Account Access,Medium,AGENT_15,2026-06-23,2026-06-23,7.9,19.8,4,Resolved,No
TKT000873,CUST_144,Central,Email,Delivery Delay,Medium,AGENT_01,2026-04-30,2026-05-01,7.2,36.2,4,Resolved,Yes
TKT001260,CUST_061,North,Phone,Damaged Goods,High,AGENT_06,2026-02-19,2026-02-20,7.5,29.9,5,Resolved,Yes
TKT003031,CUST_096,South,Chat,Delivery Delay,Critical,AGENT_06,2026-05-30,,0.7,,,Open,No
TKT002246,CUST_038,South,Chat,Delivery Delay,Critical,AGENT_13,2026-06-07,2026-06-07,1.5,7.1,5,Resolved,Yes
TKT002480,CUST_136,West,Portal,Account Access,Medium,AGENT_11,2026-01-08,2026-01-11,14.6,80.4,5,Resolved,Yes
TKT003590,CUST_084,West,Portal,Account Access,Medium,AGENT_03,2026-05-19,,5.0,74.6,,Reopened,Yes
TKT003084,CUST_016,South,Email,Other,Medium,AGENT_09,2026-04-17,2026-04-20,13.2,78.6,4,Resolved,Yes
TKT003397,CUST_010,Central,Chat,Billing,High,AGENT_02,2026-03-30,2026-03-30,1.7,15.8,5,Resolved,Yes
TKT001123,CUST_089,West,Phone,Billing,Critical,AGENT_15,2026-03-05,2026-03-05,1.3,,4,Resolved,Yes
TKT003641,CUST_134,North,Chat,Account Access,Low,AGENT_10,2026-01-24,,13.7,,,Open,No
TKT004654,CUST_048,Central,Email,Delivery Delay,Low,AGENT_04,,2026-04-19,34.0,141.1,3,Closed,Yes
TKT000967,CUST_138,Central,Phone,Other,Low,AGENT_11,2026-06-24,2026-06-28,20.8,,5,Resolved,Yes
TKT004992,CUST_109,North,Phone,Account Access,High,AGENT_08,2026-03-16,2026-03-16,2.5,,,Reopened,Yes
TKT004705,CUST_134,Central,Portal,Account Access,Medium,AGENT_11,2026-04-07,2026-04-09,3.6,57.3,4,Resolved,Yes
TKT002878,CUST_128,North,Chat,Billing,Low,AGENT_02,2026-01-13,,39.9,93.0,3,Closed,Yes
TKT000504,CUST_078,West,Email,Account Access,Medium,AGENT_13,2026-02-18,,13.0,,,Open,No
TKT004253,CUST_125,South,Email,Billing,Medium,AGENT_15,2026-05-19,2026-05-21,13.6,49.7,5,Closed,Yes
TKT003188,CUST_073,Central,Email,Billing,Medium,AGENT_12,2026-03-01,2026-03-04,18.1,86.8,3,Resolved,Yes
TKT000559,CUST_136,East,Email,Delivery Delay,Medium,AGENT_12,2026-05-08,2026-05-10,7.3,64.7,4,Closed,Yes
TKT001742,CUST_146,North,Phone,Billing,Low,AGENT_05,2026-06-18,2026-06-18,15.4,,4,Resolved,No
TKT003434,CUST_131,Central,Email,Delivery Delay,Medium,AGENT_08,2026-04-12,2026-04-14,20.1,65.6,5,Resolved,Yes
TKT004276,CUST_014,West,Phone,Damaged Goods,High,AGENT_01,2026-05-08,2026-05-08,4.9,-3.2,2,Resolved,No
TKT002357,CUST_079,North,Email,Billing,Low,AGENT_03,2026-06-05,,32.9,140.3,4,Resolved,Yes
TKT002695,CUST_126,West,Email,Account Access,Low,AGENT_05,2026-06-11,,1.6,112.9,5,Resolved,Yes
TKT004451,CUST_099,West,Portal,Delivery Delay,Low,AGENT_03,2026-05-08,2026-05-12,13.5,111.7,2,Resolved,Yes
TKT002518,CUST_077,East,Chat,Billing,Critical,AGENT_09,2026-03-04,2026-03-04,0.7,3.1,4,Closed,No
TKT003210,CUST_060,South,Email,Billing,Medium,AGENT_10,2026-05-02,2026-05-02,15.9,22.7,5,Resolved,No
TKT003601,CUST_078,East,Chat,Delivery Delay,Medium,AGENT_11,2026-05-01,,20.6,,,Open,No
TKT001466,CUST_131,South,Chat,Other,High,AGENT_06,2026-03-01,2026-03-01,1.3,21.7,3,Closed,Yes
TKT001725,CUST_054,East,Phone,Billing,Low,AGENT_11,2026-03-20,2026-03-24,43.0,,1,Closed,Yes
TKT003997,CUST_105,West,Email,Billing,Medium,AGENT_01,2026-01-21,2026-01-22,19.7,35.9,3,Resolved,No
TKT003291,CUST_056,South,Phone,Account Access,Medium,AGENT_08,2026-04-13,2026-04-13,16.9,19.0,5,Resolved,No
TKT002701,CUST_090,Central,Chat,Delivery Delay,Low,AGENT_03,2026-02-25,2026-03-01,17.2,-13.9,4,Resolved,Yes
TKT002133,CUST_061,Central,Chat,Account Access,Medium,AGENT_07,2026-03-01,2026-03-14,18.5,326.1,5,Resolved,Yes
TKT001056,CUST_019,South,Chat,Delivery Delay,Critical,AGENT_10,2026-04-11,2026-04-11,0.6,5.2,4,Resolved,Yes
TKT002044,CUST_086,South,Chat,Damaged Goods,Medium,AGENT_01,2026-01-05,,6.0,,,Open,No
TKT001088,CUST_131,North,Chat,Other,Medium,AGENT_05,2026-01-08,,4.0,,,Open,No
TKT004758,CUST_024,East,Chat,Delivery Delay,High,AGENT_13,2026-03-28,2026-03-29,4.6,24.1,2,Resolved,Yes
TKT000155,CUST_019,Central,Email,Delivery Delay,Critical,AGENT_09,2026-01-15,2026-01-15,2.0,5.2,5,Resolved,Yes
TKT002579,CUST_015,North,Chat,Delivery Delay,Critical,AGENT_11,2026-03-08,2026-03-08,1.0,6.2,5,Resolved,Yes
TKT002583,CUST_029,North,Email,Billing,Critical,AGENT_14,2026-04-10,2026-04-10,1.8,4.5,,Reopened,Yes
TKT001748,CUST_006,West,Chat,Billing,Critical,AGENT_10,2026-04-06,2026-04-06,1.8,4.8,4,Resolved,Yes
TKT004877,CUST_150,Central,Chat,Delivery Delay,Medium,AGENT_10,2026-04-24,2026-04-26,18.5,51.9,5,Resolved,Yes
TKT002298,CUST_026,South,Portal,Delivery Delay,Medium,AGENT_09,2026-04-24,,5.5,14.0,,Reopened,No
TKT000523,CUST_051,East,Email,Delivery Delay,Medium,AGENT_09,2026-06-15,,19.9,,,Open,No
TKT001229,CUST_144,Central,Phone,Delivery Delay,Critical,AGENT_13,2026-04-27,2026-04-27,1.9,,4,Resolved,Yes
TKT003226,CUST_090,West,Phone,Billing,High,AGENT_02,2026-06-04,2026-06-04,5.8,,1,Resolved,No
TKT000280,CUST_053,South,Chat,Account Access,Medium,AGENT_06,2026-02-08,2026-02-10,14.4,58.8,4,Resolved,Yes
TKT004952,CUST_103,South,Portal,Other,Low,AGENT_09,2026-05-26,2026-05-28,15.5,60.9,5,Closed,No
TKT002023,CUST_137,North,Phone,Billing,Low,AGENT_04,2026-05-22,2026-05-25,33.9,,5,Resolved,Yes
TKT004015,CUST_065,West,Chat,Delivery Delay,Low,AGENT_05,2026-06-21,2026-06-24,31.0,80.1,,Reopened,Yes
TKT001109,CUST_125,East,Phone,Other,Low,AGENT_13,2026-02-01,,42.6,,,Reopened,Yes
TKT003417,CUST_020,East,Portal,Delivery Delay,Medium,AGENT_13,2026-01-19,2026-01-21,23.6,63.6,2,Resolved,Yes
TKT001076,CUST_128,East,Phone,Billing,Medium,AGENT_04,2026-02-07,2026-02-10,19.8,,5,Resolved,Yes
TKT001657,CUST_019,Central,Portal,Account Access,Low,AGENT_07,2026-04-08,2026-05-08,13.7,725.0,5,Resolved,Yes
TKT001016,CUST_023,Central,Email,Other,High,AGENT_01,2026-06-09,2026-06-09,7.4,10.6,3,Resolved,No
TKT003840,CUST_084,East,Phone,Billing,Low,AGENT_03,2026-02-20,2026-02-21,26.9,,,Reopened,No
TKT003589,CUST_092,South,Email,Damaged Goods,High,AGENT_15,2026-04-09,2026-04-09,7.9,19.3,5,Resolved,Yes
TKT000516,CUST_018,South,Email,Account Access,High,AGENT_02,2026-04-29,2026-04-29,5.1,15.8,5,Resolved,Yes
TKT003694,CUST_126,South,Phone,Other,Low,AGENT_09,2026-02-03,2026-02-08,7.4,,4,Resolved,Yes
TKT004470,CUST_126,North,Phone,Billing,Low,AGENT_03,2026-06-28,2026-06-30,32.0,,1,Closed,No
